,filename,image,caption,image_text
0,2015-10-29_15-12-02_UTC.json,https://storage.cloud.google.com/procvaxx/2015-10-29_15-12-02_UTC.png,"It's so sad when someone gets mad at you for telling them a doctor who uses pharmaceutical drugs and synthetic ways of treating things doesn't work or even help, of course it might take some pain away but that's not getting rid of or curing something, Charlotte Gerson and Gerson therapy has healed hundreds of thousands of people from these ""incurable diseases"" and cancers. It's heals everything from head aches to arthritis, or very serious conditions degenerative diseases to cancers. The only way you can heal your body without side effects is THROUGH NUTRITION which comes through natural plant based foods. Preferably organic. The worst part of it is that her fathers well documented studies were actually taken by government personnel, why would they do this? ( it's a well known fact it doesn't matter what you say or what conspiracy you may think it is) they did because they don't want us to know the cure for our problems they want us systematically programmed to ask a doctor for help as soon as you feel sick. How sad. Stop going to the #doctor #its #not #helping #you #research #gersontherapy research how to heal your self through natural processes instead of relying on a chemical. #healing #bigpharma #depopulation #heal #yourself #natural #organic #atheist #atheism #knowledge #follow #God #Jesus #medicine #antivax #vaccination #horrible","THE
GERSON
THERAPY
Cerson Therapy
YEARS OF
PROVEN SUCCESS
Cures
Cancer
and
Hundreds
of
Diseases
The Amazing
Nutritional Program
For Cancer and
Other Illnesses
You can't keep one disease and heal
two others-when the body heals,it
heals everything
LET
FOOD BE
Charlotte Cerson
ed MatF
THYMEDICINE
AND
MEDICINE BE
THY FOOD
"
1,2018-05-16_03-48-10_UTC.json,https://storage.cloud.google.com/procvaxx/2018-05-16_03-48-10_UTC.png,"We even got in some good emails! :laptop_computer::keyboard:
.
#VaccinesWork #TexansProtectTexans #CommunityImmunity #PreventWhatIsPreventable #ProtectChildren #ProtectAdults #WeAreIT #ImmunizeTexasCares #IVax2Protect #VaxWithMe #SpeakUpForVaccines #AdvocateForVaccines","To: w.d.ratcliff2018@gmail.com
Cc:
Subject: Public health concern
Hello,
My name is
D I and I am a future constituent in your district. As a mother and a registered nurse, I am very concerned about the
widespread misinformation regarding vaccines within Texas. Vaccines are a critical component to disease prevention and are also very cost
effective. I hope you will consider supporting vaccination and aiding in combating fear tactics and false information in the future. Thank you!
Sincerely,
"
2,2018-08-25_19-49-34_UTC.json,https://storage.cloud.google.com/procvaxx/2018-08-25_19-49-34_UTC.png,"~ Incandescence ~
:sparkles:
Writing prompts:
1. #neck Aug 25 @ourpoetryjourney #ourpoetryjourneyaug18 
2. 11 word story Tagged by brilliant writer @_soundshine via @gigis_thoughts_ @lecosymittens @butterfliesrising
3. Elfchen Prompt #forever by @elepenlove 1-2-3-4-1 format
Open Tag for either prompt :heart_suit:
:sparkles:
Pyrexia...
My Twisted humor take
Annual Influenza Awareness :fire::woman_health_worker_medium_skin_tone:
:sparkles:
#pyrexia #fever #moaning #romance #passion #emotion #senses #vibes #forever #lovepoem #weekendvibes #wordporn #wordgasm #humor #medical #doctor #message #laughter #influenza #flu #clinic #vaccine #awareness #igwriters #igpoets","Forever
captivated pyrexia
intoxicating, moaning,
nape of neck quivering, breathless..
Influenza
:copyright:S. Queen
"
3,2016-05-02_17-44-08_UTC.json,https://storage.cloud.google.com/procvaxx/2016-05-02_17-44-08_UTC.png,"Kid weighs 27lbs & is 33"" tall. Happy 18-months B! :face_blowing_a_kiss: #stopgrowing #bigguy #bennysmiles #18months #checkup #vaccinate","Cerad D EE GH
utterfly
Iligator
Arab
Tenhant
Lrog
arik
K
enuin
ellyfish
lon
guana
topu
Loala
ebin
urtle
heep
ohbit
uahog
ds
www.m
"
4,2017-09-29_01-58-30_UTC.json,https://storage.cloud.google.com/procvaxx/2017-09-29_01-58-30_UTC.png,"#Repost @east_harlem_is_not_for_sale (@get_repost)
・・・
The Boriquen Spirit will never be broken, We are Powerful People!  #redistributethepain #withdraweconomicsupport #waragainstallpuertoricans #hurricane  #relief #daca #fucktrump #fema #genocide #policebrutality #fuckgentrification #fuck #racism #crisis #capitalism #nfl #vaccines #depopulation #prisonindustrialcomplex #istandwithkap #libertad #revolution #standup #the #time #is #now #family #war","e ast_harlem_is_not_for_sale
FUCK YOU | We Will Come
TRUMP! Back Stronger!
Ltme 17
""LIBERTAD!!!
"
5,2015-10-10_19-21-30_UTC.json,https://storage.cloud.google.com/procvaxx/2015-10-10_19-21-30_UTC.png,#STREETART_ILLUMINATI #rsa_graffiti #tv_streetart #dsb_graff #dopeshotbro #graffiti #graff #streetart_daily #bullerbyn #tagsandthrows #spraycan #streetarteverywhere #illuminati #artfido #eyegasm #väx #vax @tvarbusboff :collision::collision::collision:,"S TA
"
6,2017-02-17_12-36-49_UTC.json,https://storage.cloud.google.com/procvaxx/2017-02-17_12-36-49_UTC.png,"Deciding whether to #vaccinate my now #toddler Beau was challenging for me, and with #baby Duke it's been even harder. So many tales and opinions about these #vaccines that one could decide really to go either way with their decision. How do you feel about #vaccinations? Are your children vaccinated? Why or why not? Please share bellow! #MomLife #MommyLife #MommyAndMe #FabMom #MomofTwo #BoyMom #Baby #Toddler #MomLifeStyle #Motherhood #AdventuresInMotherhood
#MomBlog #MommyBlog #Blogger #Blog #Lifestyle #Healthy #Safety #BeauMonde","Robert De Niro, Robert
F. Kennedy Jr. offer
$100K to anyone who
can provide proof
vaccines are safe
BY KATIE SCOTT
FEBRUARY 16, 2017
"
7,2015-09-12_19-37-52_UTC.json,https://storage.cloud.google.com/procvaxx/2015-09-12_19-37-52_UTC.png,Let us join hands.... #autismwarriorny #warriormode #warriorsunite #wegotthis #nevergiveup #speakuporshutup #truthhurts #autism #vaccineinjuryawareness #vaccine #mychildmychoice #autismismedical #autismistreatable #autismrecoveryisreal #hearthiswell #organic #NonGMO #monsantosucks #monsanto #GMO #gmofreeusa #flouridefree #Geoengineering #HARPP #chemtrails #lookup #skyderalert #aluminum #mercury,"Sing along with me now...
""Fuck you I won't do
what you tell me...
Fuck you!
won't do
what you tell
me...""
yource cards
someecards.com
"
8,2018-03-27_02-03-25_UTC.json,https://storage.cloud.google.com/procvaxx/2018-03-27_02-03-25_UTC.png,"In the last week I’ve had people booking in for the flu shot and leaving the clinic without one :syringe: Why? Firstly, the Government funded vaccines for anyone over 65, patients with a chronic medical condition (like asthma or diabetes), women who are pregnant are not yet available to us. Secondly, you need to time the shot so it works!! :flushed_face: Last year we had a HORRIFIC flu season with deaths and huge numbers of affected people. If I jab you today the flu shot effectiveness starts to reduce after 3 to 4 months which means you may not be covered in peak flu season- August! I’ve counselled many patients this week to wait if possible until April to get their shot - it means they’ll be covered when the flu is thriving in the community. Remember if you want the shot you need a new one each year- the virus strains covered in the vaccine change each year because the virus is clever; it keeps mutating and changing :face_screaming_in_fear: So despite all the hype about the flu shot- you might just need to wait a little bit before you get jabbed! FYI Miss S, Will and I will get ours towards the end of April :smiling_face: Tag someone who might find this helpful :thumbs_up_medium-dark_skin_tone: See you summer, Winter I feel you coming :crying_cat_face::snowflake:
•
•
#thewholesomedoctor #flu #flushot #flujab #healthtips #health #healthylifestyle #healthymotivation #doctor #doctorsofinstagram #medicine #foodismedicine #exerciseismedicine #preventionisbetterthancure #inspo #medicine #healthylife #beachlife #mumlife #workingmum #knowledgeispower #empoweringwomen #sunsafe #sunsmart #morningtonpeninsula #discovermelbourne #vaccination #vaccines #motherdaughter", 
9,2017-06-09_23-22-04_UTC.json,https://storage.cloud.google.com/procvaxx/2017-06-09_23-22-04_UTC.png,"TY for sharing Jayliana's story with us @hez_lynn_ . ⠀⠀⠀ ⠀⠀⠀⠀ ⠀⠀⠀⠀ ⠀
""2 years ago today.
⠀⠀⠀ ⠀
This was one of the worst days of my life. Jayliana had a drs appt in the morning, we went...and 20-30 minutes later she started turning blue. She didn't look herself. I called the dr and he assured me that it was normal. Well my father didn't think so. He drove us an hour away to the nearest children's hospital. I remember stopping for gas, and he checked Jaylee and he got in the truck and floored it. I knew something was wrong. He grabbed her carseat for me when we got to the hospital and wouldn't let me see her, he ran in and showed them at the counter the baby. A nurse comes running from the other side and takes her out the seat and starts screaming for help. Next thing I know codes are being screamed and all available drs and nurses were running with my baby to a room. My daughter was blue, ice cold, limp and unresponsive. They did CPR and it didn't work, they then shoved a tube down her throat and were breathing for her, they brought over a huge heater and blew the hot air on her little body, then about 30 mins later they decided to shock her. She was shocked 3x. They got pulse! They all cheered and hugged. They were still manually breathing for her. She was taken up to I.C.U and placed on life support. ⠀⠀⠀ ⠀
⠀⠀⠀ ⠀
This day changed my daughter's life forever. My baby recieved the DTAP vaccine at that drs visit. We didnt know it was a vaccine injury until 2 weeks later when she recieved the HIB and she had back to back seizures and was air lifted to the hospital and she got worse and was placed on life support again.
⠀⠀⠀ ⠀
Jayliana just turned 2 years old and unfortunately is hospitalized every month. We just found out that she has the MTHFR gene mutation too.
⠀⠀⠀ ⠀
Picture on top is the morning of the drs appt, before we went. And the bottom is after the appt and just a couple hours later.""
⠀⠀⠀ ⠀⠀⠀⠀ ⠀
#vaccineinjury #vaccineawareness #vaxxed #vaccines #vaccinesrevealed #cdcwhistleblower #seizures #educatebeforeyouvaccinate #MTHFR #truthaboutvaccines #vaers #PrayforJayliana","prayers for jayliana
"
